BranchId,Bank_Name,Branch_Registration,Bank_city
BR-00001,HDFC,INBR48747244,Varanasi
BR-00002,AXIS,INBR11941555,Nanded
BR-00003,SBI,INBR80849249,Parbhani
BR-00004,HSBC,INBR48851610,Ratlam
BR-00005,IDFC,INBR79215276,Karaikudi
BR-00006,HSBC,INBR13412552,Nanded
BR-00007,AXIS,INBR12827025,Ratlam
BR-00008,HDFC,INBR28462915,Hospet
BR-00009,HSBC,INBR21050894,Jamalpur
BR-00010,HSBC,INBR67066394,Parbhani
BR-00011,AXIS,INBR73539041,Tezpur
BR-00012,HSBC,INBR68860717,Karaikudi
BR-00013,HDFC,INBR57531262,Nellore
BR-00014,ICICI,INBR67941345,Tezpur
BR-00015,ICICI,INBR25228856,Lucknow
BR-00016,HSBC,INBR61059225,Panipat
BR-00017,IDFC,INBR28331685,Nellore
BR-00018,AXIS,INBR25480167,Maheshtala
BR-00019,SBI,INBR31248977,Varanasi
BR-00020,ICICI,INBR51594153,Burhanpur
BR-00021,ICICI,INBR53585349,Tezpur
BR-00022,ICICI,INBR20294676,Hosur
BR-00023,IDFC,INBR64759313,Parbhani
BR-00024,HDFC,INBR36833717,Nellore
BR-00025,AXIS,INBR81893101,Hospet
BR-00026,SBI,INBR98357455,Ratlam
BR-00027,SBI,INBR68937090,Nellore
BR-00028,AXIS,INBR57783459,Maheshtala
BR-00029,ICICI,INBR48585874,Tirupati
BR-00030,HDFC,INBR64486577,Panihati
BR-00031,AXIS,INBR65353131,Nellore
BR-00032,IDFC,INBR66221662,Ichalkaranji
BR-00033,IDFC,INBR50674295,Varanasi
BR-00034,ICICI,INBR55182786,Tirupati
BR-00035,HDFC,INBR68603812,Burhanpur
BR-00036,HDFC,INBR44538294,Machilipatnam
BR-00037,SBI,INBR60149507,Ahmedabad
BR-00038,SBI,INBR50979529,Maheshtala
BR-00039,AXIS,INBR74009819,Noida
BR-00040,SBI,INBR92943145,Karaikudi
BR-00041,SBI,INBR21730941,Noida
BR-00042,HDFC,INBR93387020,Parbhani
BR-00043,IDFC,INBR31512594,Nanded
BR-00044,IDFC,INBR35902872,Warangal
BR-00045,SBI,INBR52355029,Noida
BR-00046,HDFC,INBR42784369,Parbhani
BR-00047,ICICI,INBR18792973,Machilipatnam
BR-00048,ICICI,INBR10372930,Berhampore
BR-00049,SBI,INBR69421403,Nanded
BR-00050,IDFC,INBR86684605,Ichalkaranji
BR-00051,AXIS,INBR29185370,Lucknow
BR-00052,IDFC,INBR15054180,Warangal
BR-00053,IDFC,INBR23460791,Panipat
BR-00054,HSBC,INBR47054498,Nagaon
BR-00055,HSBC,INBR18395040,Hosur
BR-00056,AXIS,INBR19085343,Hospet
BR-00057,ICICI,INBR88664706,Nellore
BR-00058,SBI,INBR13384860,Muzaffarnagar
BR-00059,ICICI,INBR99526685,Maheshtala
BR-00060,HSBC,INBR36745337,Ratlam
BR-00061,HDFC,INBR37712195,Ahmedabad
BR-00062,ICICI,INBR38949610,Tezpur
BR-00063,HSBC,INBR26809860,Nellore
BR-00064,IDFC,INBR26900724,Varanasi
BR-00065,IDFC,INBR89106117,Muzaffarnagar
BR-00066,HDFC,INBR47338373,Ahmedabad
BR-00067,AXIS,INBR90304125,Berhampore
BR-00068,AXIS,INBR23054387,Nanded
BR-00069,ICICI,INBR60216176,Noida
BR-00070,HDFC,INBR12039275,Ratlam
BR-00071,HSBC,INBR91226834,Burhanpur
BR-00072,ICICI,INBR14187884,Machilipatnam
BR-00073,HDFC,INBR28362392,Chapra
BR-00074,SBI,INBR38416931,Ichalkaranji
BR-00075,IDFC,INBR25816407,Muzaffarnagar
BR-00076,ICICI,INBR58384854,Nellore
BR-00077,HSBC,INBR81737850,Nagaon
BR-00078,ICICI,INBR54203547,Varanasi
BR-00079,SBI,INBR38479870,Berhampore
BR-00080,HDFC,INBR22592295,Muzaffarnagar
BR-00081,HSBC,INBR44117103,Machilipatnam
BR-00082,HSBC,INBR83873203,Tirupati
BR-00083,HDFC,INBR82144569,Panipat
BR-00084,SBI,INBR98674829,Burhanpur
BR-00085,AXIS,INBR63342273,Burhanpur
BR-00086,HDFC,INBR75330542,Ratlam
BR-00087,HSBC,INBR87066985,Chapra
BR-00088,SBI,INBR88702817,Ahmedabad
BR-00089,HSBC,INBR29603268,Tezpur
BR-00090,SBI,INBR54636744,Nagaon
BR-00091,HSBC,INBR36089079,Jamshedpur
BR-00092,HDFC,INBR82696856,Warangal
BR-00093,HSBC,INBR53799880,Chapra
BR-00094,SBI,INBR27041585,Karaikudi
BR-00095,AXIS,INBR41778099,Machilipatnam
BR-00096,IDFC,INBR26749807,Ahmedabad
BR-00097,HSBC,INBR82628627,Lucknow
BR-00098,SBI,INBR35735021,Hosur
BR-00099,AXIS,INBR51680409,Muzaffarnagar
BR-00100,IDFC,INBR12069122,Ahmedabad
BR-00101,ICICI,INBR65011705,Tezpur
BR-00102,IDFC,INBR63018112,Lucknow
BR-00103,IDFC,INBR79250488,Ichalkaranji
BR-00104,HDFC,INBR82698552,Karaikudi
BR-00105,IDFC,INBR21786869,Nellore
BR-00106,AXIS,INBR98539262,Noida
BR-00107,AXIS,INBR53006488,Lucknow
BR-00108,IDFC,INBR70454673,Lucknow
BR-00109,SBI,INBR46893527,Muzaffarnagar
BR-00110,HDFC,INBR77276324,Berhampore
BR-00111,SBI,INBR36102834,Berhampore
BR-00112,IDFC,INBR58164708,Ratlam
BR-00113,HSBC,INBR15289007,Machilipatnam
BR-00114,IDFC,INBR79082599,Burhanpur
BR-00115,ICICI,INBR74214942,Burhanpur
BR-00116,AXIS,INBR38870945,Ichalkaranji
BR-00117,ICICI,INBR15291308,Chapra
BR-00118,IDFC,INBR21276453,Noida
BR-00119,IDFC,INBR90570633,Burhanpur
BR-00120,HDFC,INBR60149123,Parbhani
BR-00121,HDFC,INBR80309230,Muzaffarnagar
BR-00122,HDFC,INBR39766474,Nanded
BR-00123,AXIS,INBR23685978,Dibrugarh
BR-00124,ICICI,INBR15273784,Berhampore
BR-00125,AXIS,INBR67881632,Jamalpur
BR-00126,ICICI,INBR17227817,Nagaon
BR-00127,HSBC,INBR22496380,Berhampore
BR-00128,HDFC,INBR97074406,Lucknow
BR-00129,HSBC,INBR59694705,Nanded
BR-00130,AXIS,INBR93020194,Hospet
BR-00131,ICICI,INBR60612252,Karaikudi
BR-00132,ICICI,INBR13782349,Orai
BR-00133,SBI,INBR65530499,Warangal
BR-00134,ICICI,INBR72577782,Warangal
BR-00135,SBI,INBR26173490,Panipat
BR-00136,IDFC,INBR84676055,Jamshedpur
BR-00137,SBI,INBR33807181,Warangal
BR-00138,IDFC,INBR43167268,Karaikudi
BR-00139,SBI,INBR17720302,Ichalkaranji
BR-00140,IDFC,INBR47801708,Parbhani
BR-00141,AXIS,INBR58136831,Jamalpur
BR-00142,HSBC,INBR61395665,Hosur
BR-00143,HSBC,INBR37659693,Parbhani
BR-00144,HDFC,INBR88706506,Tirupati
BR-00145,IDFC,INBR95160981,Jamalpur
BR-00146,AXIS,INBR91134689,Noida
BR-00147,SBI,INBR81642173,Nagaon
BR-00148,AXIS,INBR51965933,Nanded
BR-00149,IDFC,INBR30078454,Parbhani
BR-00150,HSBC,INBR77565956,Maheshtala
BR-00151,IDFC,INBR21976775,Nanded
BR-00152,HSBC,INBR87621369,Ichalkaranji
BR-00153,ICICI,INBR53288269,Hosur
BR-00154,ICICI,INBR44237149,Nanded
BR-00155,AXIS,INBR57953172,Ahmedabad
BR-00156,IDFC,INBR32620406,Burhanpur
BR-00157,IDFC,INBR85019051,Burhanpur
BR-00158,SBI,INBR98502039,Hospet
BR-00159,AXIS,INBR60633916,Burhanpur
BR-00160,HSBC,INBR95938024,Nanded
BR-00161,HSBC,INBR18279890,Orai
BR-00162,SBI,INBR80190771,Karaikudi
BR-00163,HDFC,INBR15607015,Parbhani
BR-00164,IDFC,INBR33696832,Machilipatnam
BR-00165,SBI,INBR99828692,Lucknow
BR-00166,HDFC,INBR70745855,Orai
BR-00167,ICICI,INBR54435098,Varanasi
BR-00168,ICICI,INBR14377429,Hosur
BR-00169,SBI,INBR71620017,Ichalkaranji
BR-00170,SBI,INBR62152196,Karaikudi
BR-00171,AXIS,INBR22207974,Maheshtala
BR-00172,IDFC,INBR64400496,Nellore
BR-00173,SBI,INBR47657476,Ahmedabad
BR-00174,IDFC,INBR60391363,Burhanpur
BR-00175,AXIS,INBR97938093,Jamshedpur
BR-00176,HDFC,INBR85083433,Lucknow
BR-00177,HDFC,INBR69375062,Maheshtala
BR-00178,HSBC,INBR90992621,Dibrugarh
BR-00179,ICICI,INBR59403354,Muzaffarnagar
BR-00180,ICICI,INBR41098947,Rewa
BR-00181,HDFC,INBR46102371,Dibrugarh
BR-00182,HDFC,INBR47745238,Burhanpur
