Customer_id,Credit Score,Annual Income,Years of Credit History,Months since last delinquent,Number of Open Accounts,Number of Credit Problems,Current Credit Balance,Maximum Open Credit,Bankruptcies,Tax Liens
V0H084B3FA,745.0,787474.0,11.7,,6.0,1.0,206682.0,414788.0,1.0,0.0
7SI1YKSDMB,,,30.3,,10.0,0.0,593123.0,972774.0,0.0,0.0
H0L4L7VHXT,731.0,617291.0,25.2,,8.0,0.0,130891.0,309914.0,0.0,0.0
6I324KGK08,712.0,653562.0,18.9,,20.0,2.0,149169.0,423302.0,0.0,1.0
WKJ0VXQFIY,648.0,1303134.0,17.9,40.0,7.0,0.0,332291.0,465806.0,0.0,0.0
HT4P3N5R38,726.0,1000863.0,14.3,,7.0,0.0,137617.0,236082.0,0.0,0.0
Y4EHCD6U3G,707.0,1216608.0,12.8,76.0,7.0,0.0,204250.0,283932.0,0.0,0.0
KTYHYNJG3Q,724.0,973085.0,16.8,25.0,18.0,0.0,220210.0,1517736.0,0.0,0.0
2N2119NGLF,731.0,597303.0,12.8,20.0,15.0,1.0,32110.0,97328.0,0.0,1.0
CT2JZ4HB0I,710.0,1651024.0,17.1,37.0,7.0,0.0,594814.0,734272.0,0.0,0.0
HF5N5ZWXFL,680.0,3440482.0,20.8,35.0,10.0,0.0,359043.0,878922.0,0.0,0.0
4WMWWD3L7C,739.0,887433.0,31.0,27.0,7.0,1.0,22629.0,436854.0,1.0,0.0
RIPWSYBXN8,671.0,873810.0,7.8,16.0,10.0,0.0,92378.0,384736.0,0.0,0.0
9GXGVJOUV1,732.0,1486864.0,21.8,,18.0,0.0,708244.0,927674.0,0.0,0.0
WOT5TC8J5V,6470.0,1021706.0,18.9,,7.0,0.0,591014.0,1009338.0,0.0,0.0
U38Z486TPA,709.0,1263291.0,14.9,25.0,16.0,1.0,220590.0,330858.0,1.0,0.0
PYTD6L08D9,714.0,1010971.0,25.4,18.0,11.0,0.0,65854.0,224906.0,0.0,0.0
YDS5XC3E0C,,,12.8,,16.0,0.0,313652.0,1100506.0,0.0,0.0
AB4ANZ6G75,6920.0,1145719.0,17.0,65.0,11.0,0.0,245119.0,384076.0,0.0,0.0
AWVATWP59G,725.0,2374525.0,17.5,78.0,9.0,0.0,1893597.0,2526018.0,0.0,0.0
KXGA8SKWE8,6870.0,1428002.0,17.8,,16.0,0.0,1051479.0,1386682.0,0.0,0.0
OQ9B2EXIDK,7200.0,805980.0,20.2,,13.0,1.0,285646.0,557766.0,1.0,0.0
TEJYJOBYU0,,,34.2,,16.0,0.0,433618.0,651222.0,0.0,0.0
UDO9383QJE,676.0,1837129.0,19.4,5.0,9.0,0.0,34751.0,78430.0,0.0,0.0
3OLCZ44QRO,6770.0,540265.0,11.0,,9.0,0.0,115862.0,340472.0,0.0,0.0
SQFIGG8YCD,742.0,1077262.0,24.5,29.0,37.0,0.0,212800.0,502876.0,0.0,0.0
I21IUMPDF1,703.0,934515.0,23.1,,30.0,0.0,275082.0,629486.0,0.0,0.0
KSTCDNRYGF,734.0,1131564.0,15.8,45.0,7.0,0.0,404187.0,567996.0,0.0,0.0
9O7IBO2QF1,634.0,1558152.0,15.8,,11.0,0.0,233567.0,512204.0,0.0,0.0
EK7ID36HSW,746.0,719682.0,23.5,,6.0,0.0,532779.0,877536.0,0.0,0.0
A3V6947CM2,,,10.0,,6.0,0.0,52611.0,230780.0,0.0,0.0
JUMVL6CNGJ,,,,,,,,,,
JTJGYY3G1V,726.0,672657.0,7.7,,11.0,0.0,86469.0,333718.0,0.0,0.0
SWIQKJBXG3,,,29.1,,10.0,0.0,281162.0,1183820.0,0.0,0.0
3O4E8R56ZY,739.0,990926.0,28.2,41.0,16.0,0.0,376314.0,935066.0,0.0,0.0
62KEF2L6A7,700.0,1729494.0,20.7,,13.0,0.0,1279650.0,2698916.0,0.0,0.0
