Loan_id,Customer_id,Current Loan Amount,Term,Annual Income,Years in current job,Home Ownership,Purpose,Monthly Debt
LN-1000001,PIOC70NJ1K,485892.0,Long Term,2059999.0,10+ years,Home Mortgage,Debt Consolidation,33423.47
LN-1000002,N5F6P740Z7,223146.0,Short Term,735072.0,1 year,Rent,Debt Consolidation,15436.55
LN-1000003,KT93469CR4,108768.0,Short Term,,10+ years,Home Mortgage,Other,8869.01
LN-1000004,F2GP9KE8R3,112178.0,Short Term,,2 years,Rent,Debt Consolidation,10868.95
LN-1000005,0RPMCK8MBT,337524.0,Short Term,1224284.0,5 years,Home Mortgage,Debt Consolidation,12548.93
LN-1000006,46NT2A053L,451330.0,Long Term,2784165.0,1 year,Home Mortgage,Debt Consolidation,30857.9
LN-1000007,C157C3IPZI,192302.0,Short Term,,5 years,Home Mortgage,Debt Consolidation,8799.85
LN-1000008,GJ710D6JXO,191268.0,Long Term,1484736.0,10+ years,Home Mortgage,Debt Consolidation,11803.56
LN-1000009,FQJ1YHXMQH,629992.0,Long Term,2267004.0,10+ years,Own Home,Debt Consolidation,20780.87
LN-1000010,3A2P9FZQEM,450692.0,Short Term,1270074.0,8 years,Rent,Debt Consolidation,22649.52
LN-1000011,29U8L1E1XJ,520410.0,Short Term,1073044.0,7 years,Rent,Debt Consolidation,31744.06
LN-1000012,K94KV2DX2X,651420.0,Short Term,3469305.0,3 years,Rent,Debt Consolidation,32380.18
LN-1000013,NT460734YZ,160424.0,Short Term,1289302.0,3 years,Home Mortgage,Debt Consolidation,23314.71
LN-1000014,K9O7RDB0XA,334004.0,Short Term,,4 years,Own Home,Home Improvements,28441.1
LN-1000015,DMV4UIUY2P,99999999.0,Long Term,1886890.0,5 years,Own Home,Home Improvements,19812.44
LN-1000016,TQ9LTYUEI5,347248.0,Long Term,1593207.0,10+ years,Home Mortgage,Home Improvements,278.92
LN-1000017,K1CTBADP8S,270446.0,Long Term,1265134.0,10+ years,Rent,Debt Consolidation,15708.63
LN-1000018,I91Y4O3D64,99999999.0,Short Term,375706.0,6 years,Rent,Debt Consolidation,4339.41
LN-1000019,9ZM4JVCLUQ,552860.0,Long Term,1375106.0,10+ years,Rent,Debt Consolidation,34263.27
LN-1000020,8LT1E8FCAF,84018.0,Short Term,1011123.0,10+ years,Rent,Debt Consolidation,18790.05
LN-1000021,9COULBISLI,215380.0,Short Term,781242.0,10+ years,Home Mortgage,Debt Consolidation,11393.16
LN-1000022,65YH4SRFHV,66066.0,Short Term,1008102.0,10+ years,Rent,Debt Consolidation,15289.49
LN-1000023,X75R3TER97,555500.0,Long Term,,5 years,Rent,Debt Consolidation,18710.25
LN-1000024,WLYHPARXYB,168652.0,Short Term,1847997.0,< 1 year,Rent,Debt Consolidation,14937.99
LN-1000025,XNY025K4XT,266794.0,Short Term,1344098.0,2 years,Home Mortgage,other,20273.38
LN-1000026,5QOF5LMSSU,468908.0,L,1833842.0,8 years,Rent,other,5898.93
LN-1000027,9G1M9S2ZEV,220506.0,Short Term,,< 1 year,Rent,Debt Consolidation,20052.98
LN-1000028,VSAR22BKTG,198924.0,Short Term,1718037.0,1 year,Rent,Debt Consolidation,14317.07
LN-1000029,J0UPGENQFA,257444.0,Short Term,648508.0,10+ years,Rent,Debt Consolidation,5944.53
LN-1000030,V5Y7M4MVX5,649506.0,Short Term,6076827.0,< 1 year,Home Mortgage,Debt Consolidation,39651.29
LN-1000031,XE4CVYDLUW,229020.0,Long Term,1130196.0,9 years,Rent,Debt Consolidation,17047.18
LN-1000032,HHC5I5XI57,427284.0,Long Term,1026209.0,10+ years,Home Mortgage,Debt Consolidation,28220.7
LN-1000033,MFUCB49NBS,71962.0,Short Term,310783.0,< 1 year,Rent,Debt Consolidation,388.55
LN-1000034,JS3WBRHD57,223234.0,Short Term,751887.0,10+ years,Home Mortgage,Debt Consolidation,6228.2
LN-1000035,VZ4R1B7UT4,155100.0,Short Term,1160444.0,6 years,Home Mortgage,Home Improvements,15666.07
LN-1000036,RM157ETJ2J,661496.0,Long Term,4784675.0,4 years,Home Mortgage,Debt Consolidation,35885.11
LN-1000037,SX94FE4DVQ,345268.0,Short Term,2422823.0,8 years,Home Mortgage,Debt Consolidation,48254.68
LN-1000038,0X2SYAJVX4,99999999.0,Short Term,2100241.0,10+ years,Rent,Debt Consolidation,27128.01
LN-1000039,ESKENU8K0B,328020.0,Short Term,2455180.0,10+ years,Home Mortgage,renewable_energy,14956.23
LN-1000040,CGN83KVEPH,521488.0,Long Term,1073253.0,10+ years,Own Home,Debt Consolidation,17440.48
LN-1000041,99RP33KAXS,327118.0,Short Term,1351584.0,4 years,Own Home,Home Improvements,18133.79
LN-1000042,MVV4L1BH8C,120406.0,Short Term,1417875.0,10+ years,Rent,Debt Consolidation,22331.46
LN-1000043,KE1XHVM1E8,166320.0,Short Term,2568344.0,10+ years,Rent,Debt Consolidation,18748.82
LN-1000044,99X3L79VWH,324720.0,Long Term,1402200.0,9 years,Rent,Debt Consolidation,3295.17
LN-1000045,OMQ6S47B5R,99999999.0,Short Term,1485553.0,10+ years,Home Mortgage,Medical Bills,12627.21
LN-1000046,BJQJFB0B1D,,,,,,,
LN-1000047,LWD8MDPQAI,447172.0,Long Term,1800972.0,7 years,Home Mortgage,other,10265.51
LN-1000048,AVPHXJUZQ0,624448.0,Short Term,1482437.0,7 years,Rent,Debt Consolidation,14824.37
LN-1000049,L2IVMG4PTU,646074.0,Short Term,1562332.0,4 years,Rent,Home Improvements,6809.22
LN-1000050,GXGOLJQZY0,558580.0,Short Term,2701496.0,2 years,Rent,Debt Consolidation,69338.41
LN-1000051,FT0TMOUB49,224378.0,Short Term,872024.0,5 years,Rent,Debt Consolidation,21364.36
LN-1000052,5YH1XODLOQ,201564.0,Short Term,1934200.0,10+ years,Home Mortgage,Debt Consolidation,26917.68
LN-1000053,92E3UYDGOI,386100.0,Short Term,1549887.0,10+ years,Home Mortgage,Home Improvements,11740.48
LN-1000054,O9UGPQVGM1,434412.0,Short Term,1519449.0,< 1 year,Home Mortgage,Debt Consolidation,24564.53
LN-1000055,BVWEMWDVGJ,216612.0,Short Term,574693.0,5 years,Rent,Debt Consolidation,9803.24
LN-1000056,TMJ1K1G54V,100430.0,Short Term,805030.0,2 years,Own Home,Debt Consolidation,10263.99
LN-1000057,Y0ZM363N5K,219472.0,Long Term,1232036.0,10+ years,Home Mortgage,Debt Consolidation,13757.71
LN-1000058,ABXRAKPSW7,676500.0,Long Term,2921250.0,6 years,Home Mortgage,Home Improvements,2142.25
LN-1000059,HOOZ2IUY2J,216194.0,Short Term,,3 years,Own Home,Debt Consolidation,19009.5
LN-1000060,A7U09BC3EI,173030.0,Long Term,1220256.0,10+ years,Rent,Other,11846.69
LN-1000061,2UFVQIVCAM,109428.0,Short Term,,,Home Mortgage,Debt Consolidation,5153.56
LN-1000062,PPVMKL4TIN,99999999.0,Long Term,1361388.0,4 years,Home Mortgage,Debt Consolidation,26887.47
LN-1000063,7J4Q8AWRBU,489742.0,Short Term,1084007.0,10+ years,Home Mortgage,Debt Consolidation,27732.4
LN-1000064,YHPB64B0XO,327800.0,Short Term,1321089.0,10+ years,Home Mortgage,Debt Consolidation,16183.25
LN-1000065,V7JS4340VL,132330.0,Short Term,761900.0,< 1 year,Rent,Debt Consolidation,10730.06
LN-1000066,3SHK8VZ909,270314.0,Short Term,,8 years,Home Mortgage,Debt Consolidation,22177.75
LN-1000067,HACJKVFN1Y,,,,,,,
LN-1000068,C20IBHWZ46,215468.0,Long Term,1246780.0,< 1 year,Rent,Debt Consolidation,13299.05
LN-1000069,MED8RMZBOB,446072.0,Short Term,,10+ years,Home Mortgage,Debt Consolidation,41534.19
LN-1000070,FJ4G1VL97T,99999999.0,Short Term,811528.0,10+ years,Home Mortgage,Debt Consolidation,16162.92
LN-1000071,MBF8EDBBRC,333168.0,Long Term,1150944.0,8 years,Home Mortgage,Debt Consolidation,14770.41
LN-1000072,342AZODJV5,239514.0,Short Term,624986.0,10+ years,Rent,Debt Consolidation,10884.91
LN-1000073,LWGAMB4ZZW,526944.0,Long Term,,2 years,Home Mortgage,Debt Consolidation,30244.39
LN-1000074,M04WRHVVER,244002.0,Long Term,470402.0,10+ years,Home Mortgage,Debt Consolidation,14934.95
LN-1000075,8YZ3LAYWEL,240724.0,Long Term,1104432.0,6 years,Home Mortgage,Buy a Car,14964.97
LN-1000076,M9VLDB6NS5,327096.0,Long Term,,10+ years,Home Mortgage,Other,5233.17
LN-1000077,T8QUONFLJ4,219450.0,Short Term,568575.0,< 1 year,Rent,Debt Consolidation,2653.35
LN-1000078,4JHV0RV581,514932.0,Long Term,1892400.0,10+ years,Rent,Debt Consolidation,9446.23
LN-1000079,WZD9VFCBDH,131472.0,Short Term,756960.0,10+ years,Home Mortgage,Debt Consolidation,10786.68
LN-1000080,UXL9G563H3,148104.0,Short Term,,< 1 year,Rent,Debt Consolidation,8655.26
LN-1000081,OH812J8V2J,260920.0,Long Term,1117276.0,,Rent,Debt Consolidation,15176.25
LN-1000082,WGXBCX6LFN,161480.0,Short Term,1654805.0,3 years,Home Mortgage,Debt Consolidation,37233.35
LN-1000083,RJK5F7XAFL,223476.0,Short Term,675507.0,1 year,Rent,Debt Consolidation,15198.86
LN-1000084,800K9FHS6B,190784.0,Short Term,1007950.0,10+ years,Home Mortgage,Debt Consolidation,14615.37
LN-1000085,E3RTRQAJFJ,43824.0,Short Term,,< 1 year,Rent,other,13422.36
LN-1000086,D9ELENBSFF,79442.0,Short Term,514596.0,4 years,Rent,Buy a Car,8833.86
LN-1000087,P73YBQHBQN,337370.0,Long Term,1146004.0,1 year,Rent,Debt Consolidation,14802.33
LN-1000088,TCI9Z5U6JK,99999999.0,Short Term,1036165.0,10+ years,Home Mortgage,Debt Consolidation,27544.49
LN-1000089,UDO9383QJE,359392.0,Short Term,,1 year,Rent,Debt Consolidation,21961.15
LN-1000090,LSOYDNC1A8,388278.0,Long Term,,6 years,Home Mortgage,Home Improvements,14145.88
LN-1000091,84FYUOU3BZ,133518.0,Short Term,967157.0,1 year,Rent,Debt Consolidation,5416.14
